review,sentiment,,
"The bittersweet twist to this movie contains a wonderful element of romanticism that evokes an impetuous passion! These characteristics of idealistic imagery which ""Moonstruck"" possesses, spur on an end result of a resounding thumbs up verdict by virtually every prominent critic in Hollywood. Let me describe the circumstances to this film, simply put, they are ""yesteryear"". ""Moonstruck"" is a cohesive film which sparks the naivety of an old Italian neighborhood in New York City. New York City has always been one big melting pot that is galvanized by many bicker-some mannerisms which are indicative of typical New Yorkers, this includes a lot of Italian Americans living in New York as well! The mid and late eighties brought on an abrupt conclusion to many strong associations with various cultural stereotypes. Ethnicity polarization was a firmly embedded scourge in American history that was far more prevalent several generations before this movie was made. These generalizing proclivities still exist today, however, they are more mollified and less identifiable! For this Italian family of a bygone era, confusion, indecisiveness, agitation, and yes, of course, love, all have the comical camaraderie of an utterly human understanding to them! The kindred spirits with everyone in ""Moonstruck"" seems to be that of comprehending individual frailties. One might wonder about Cher playing the lead role, as she is more known as an entertainer than a big box office first billing star in a movie. In ""Moonstruck"", however, I think she was incredibly well suited to her role, and came off as thoroughly believable in a relatively unbelievable situation. All of the characters in ""Moonstruck"" are very rough around the edges, really tough, and not afraid to have a formidable duel with adversity. The most hilarious aspect to their lives is imperfection, and they are thoroughly aware of the fact that weathering the storm definitely serves a constructive purpose! I thought the acting in this movie was sensational. All relationships in this movie garner an auspicious potential to vividly illuminate because everybody knows how everybody else's basic nature is really like!! For this family, nothing is glamorous, nothing is pretentiously romantic, and nothing is overly emotional (just moderately so). The fact is, this entire family is plainly and perpetually afflicted and overcome by an extremely zealous and candid cupid in all of their lives. Taking moon beams literally can indeed have a pleasantly enervating impact on one's resolve, masqueraded mystique, and resistance to the proverbial am ore'. Thus signifying everything!! The homey and mercurial tenet in this film is basically one of ; Be honest, get angry; Be honest, get confrontational; Be honest, get distorted and emphatic; Most importantly; Be honest, and fall in love!! This is Cher's best performance ever as an actress!! Nicholas Cage, Danny Aiello, and Olympia Dukakis, were wonderfully flawed in ""Moonstruck"" Such performances by these three were perfectly appropriate for the kinetic energy of the characters in this movie! Director, Norman Jewison (Famous for ""Cincinnati Kid"", ""Thomas Crowne Affair"", and most famous for ""In The Heat Of The Night"" which won the academy award for best picture in 1967) depicts many keen and humanistic instincts in the process of purveying the deliberate incongruity to this film! I am Italian American in descent, (Partially anyways) Cher is not Italian, and, for that matter, neither is the writer nor the director! I guess since non-Italians like eating our food, they may as well use our culture to make a fabulous film too! It is refreshing to know that a film can be marvelous and have an incredibly happy ending!! For those of you who didn't like this movie, I just have one thing to say ""Snap Out Of It!!"" This movie ""Moonstruck"" is totally happy go lucky!! Totally eighties!! and Totally five stars!! See it!!",1,,
"The Angry Red Planet (Quickie Review) <br /><br />Like ""The Man From Planet X,"" this is a bizarre science fiction tale culled from an era where fantasy and science fiction were still damn near the same thing. Meaning, we have some highly laughable special effects and rampant pseudo-science masquerading as science fiction. And yes, it's another ""classic"" released in a high quality transfer with a crisp picture and sharp sound--by Midnite Movies.<br /><br />So, the main reason to watch this film? Oh, it's definitely the whole time our space crew is on Mars. (What, you thought ""Angry Red Planet"" referred to Neptune?) Prior to that is some rather poor quality space crew boarding a space ship, inside of which they smoke and toss around sexist chauvinistic banter aimed at the ""puny female"" member of the crew. It'd be somewhat offensive by today's standards if it weren't so damn funny. But Mars is the real reason we're watching this thing. The film is generally black and white, but Mars, well Mars is screaming bloody red. It's filmed in this bizarre red plasticy sheen giving the angry red planet quite an interesting look of overexposed redness. It's really quite a sightas are the (ha ha) aliens viewers are to witness. The best being the ""ratbatspidercrab."" You think that's a joke? That's what they call it in the movie! It's a gigantic chimera (small puppet) of a thing combining traits of rats, bats, spiders, and crabs. It bounds along all puppety and scares the sh*t out of our ""heroic crew."" There are other weird, and poorly imagined, aliens to be seen, but that one takes the cake. Eventually, after their harrowing experience on Mars, the sexist crew boards their ""ship"" and returns to whatever planet it was they came from.<br /><br />This ain't for everyone. Science Fiction film buffs & curiosity seekers, and some general film buffs. Fans of Mystery Science Theater 3000 will have a field day with this one (if they never got to it on the show).<br /><br />2/10 Modern score, 6/10 Nostalgia score, 4/10 overall.<br /><br />(www.ResidentHazard.com)",0,,
"I could have done with the seven gunslingers just staying away. This sequel should never have been done, the first did it all and better. The plot was a turkey, the acting was turkey, the direction, production, camera work... all turkey. Whoever put out this junk should be tarred and feathered. May they not return again!",0,,
"This is the first must see film I've seen in the last year! It's wickedly funny, incredibly original, unbelievably great looking (they went for this super cool wide-screen Technicolor look that's awesome to behold,) and it actually has depth in character and in what it says about society. It's really smart satire that nails everything from Homeland Security to race issues, while at the same time leaving you laughing and realizing how much are world lives in fear. Carrie Anne Moss turns in a comedic performance I never imagined would come from her! She's sweet, funny and sexy! Billy Connolly is great as Fido who can only grunt and moan! And Dylan Baker as the Dad is priceless. In fact the whole cast is perfect. Henry Czerny as the bad guy, Tim Blake Nelson as the neighbor with the hot sexy zombie girlfriend (getting the idea now?) Funny, though-provoking and just all round amazing! Go and see this movie! It's like nothing you've ever seen before.",1,,
"I got a kick out of Reynolds saying to his attorney, ""look,I've done a lot of shi%ty thing in my life, but I never killed anyone."" Obviously he forgot about his career which slid down hill after he started making stupid movies like 'Cannonball Run.' Physical Evidence was originally supposed to be a sequel to 'The Jagged Edge' that Glen Close sanely rejected. The verdict is in, avoid Physical Evidence.",0,,
"I suppose many people comment/review their first movie on IMDb because the movie was spectacular or horrible -- I'm writing due to the latter.<br /><br />I was excited for the sequel to ""Wargames"" .. I thought the original was quite good considering its time period and content, I felt it was worth watching more than once. This being 2008, I had high hopes for what they would do with this film. Computers, Gaming, Terror, Military over-zealousness have all grown so much since the time of the first film, and ""Wargames: The Dead Code"" had an opportunity to bring it all into a great flick.<br /><br />The movie failed on pretty much every level, but I particularly blame the writers and anyone who had any input regarding the realism of gaming aspects. ""The Dead Code"" was a 1990's air flight simulator with a few people on the ground waving their arms. Meanwhile, Will Farmer is button mashing about 7,000 commands -- none of which are impacting what is happening on the screen. Until finally he ""wins"" by clicking a box on the screen with his mouse that release gas that instantly kills 20,000 virtual people (nobody is near the gas). Because he beat 5 LEVELS in 15 minutes, this tells RIPLEY (the real life war machine) that he is a high level terror threat.<br /><br />Even though any 5-16 year old could complete this same task - The government believes he is a lethal threat to humanity. They say things like ""He has expert knowledge of bio-terror"" ... He displayed less knowledge than someone who read the first 3 paragraphs of the Wiki entry on Bio-Terror. So then a movie-long chase scene with about .01% of the budget and excitement of any of the Bourne titles ensues. They have about 1000 opportunities to catch him and clear up the entire matter.. sometimes they are mad they barely miss him.. but other times they masterfully create opportunities just let him go intentionally to follow him.<br /><br />Ugh... I would write more.. but I already wasted 1.5 hours watching this, I would rather watch the Broderick and Joshua play tic-tac-toe for 1.5 hours.",0,,
"The twins effect is a vampire martial arts movie available in Cantonese with English subtitles. It is a Jackie Chan production and he does make a special guest appearance, although it is not for those that liked Shanghai Noon/Knights and the other recent Hollywood flicks he has become known for, this film is a lot more special than that.<br /><br />It was originally called The Vampire Effect but as a very popular Chinese female pop duo called The Twins (Charlene Choi and Gillian Chung) took the two leading roles the title was changed to cash in on their fame.<br /><br />The film will appeal to three types of audience: those who love martial arts films, those who love vampire films and those who loath the rubbish films Hollywood generally churns out.<br /><br />The premise for the film is that vampires are about and a secret society seeks to hunt them down before we all become snacks for the undead. This bloody work is carried out by some martial artists who drink a little vampire blood to give them the edge they need, well it must be thirsty work! Things are going pretty much for the course until a particularly nasty European vamp finds out that he if he obtains a set of keys held by all the vampire princes then he can walk around in sunlight etc and generally eat when ever he wants to. To say anymore on the plot would spoil the enjoyment of watching the film.<br /><br />The twins consist of one assigned vampire slayer (Chung) and the sister (Choi) of another. It is the twins that really make the film; with some of the freshest and funniest acting going. The fight scenes they carry out are fast and furious and well choreographed with a mix of genuine athleticism and wire work. To add the cherry on the cake the twins are both quite lovely to watch too.<br /><br />The direction is crisp and the script is sharp. There are only 3 things that let this film down: the make-up for the vampires is quite poor, Jackie Chan seems to be in the film just for the hell of it and adds nothing to its content, and some of the slapstick comedy attempted by the male vampire hunter is quite lame. Thankfully the twins save the day bringing an originality to the film normally only found in European films. The best scene for me was one of them (Choi) communicating only by screaming, her ability to convey her thoughts through this medium was a comic delight.<br /><br />Their are many other touches of originality in this film - I particularly liked the coffin complete with surround sound stereo and TV screen! And it is the films' many original touches and acting that stops this from being a tired old flop and turns it into a must see movie.",1,,
"Kill the scream queen may sound like a good slasher flick but it is terribly boring and very dumb.<br /><br />Kill the scream queen is about a crazy filmmaker who auditions girls to be in his snuff film. He rapes and tortures them. This is trash that is not amusing, suspenseful or entertaining.The killer has no motive,okay maybe hes just sick...and very dull. Maybe they could of gave a victim a story of their own. Anything could be an improvement. It needed a lot more.<br /><br />They could of put just a little more into it. I love horror/slasher films but this is ridiculously bad.",0,,
"Henri-Georges Clouzot's film is quiet an example of the french transition cinema. A film between the realism of the postwar cinema and the full-of-magic and symbolism nouvelle vague. With some spots of the American classic films (but not imitating it) the director tales us a story about love, crime and the importance of points of view. We can find great actors too (Suzy Delair is impeccable).<br /><br />Is interesting too, how we can find aspects of this film nowadays. Quai des Orfèvres inheritance is palpable in Woody Allen tradition. Plunging a crime situation in a picturesque environment. The naive ending is also typical in Steven Spielberg's good-ending films. And finally I would like to point out, the deja voo sensation during the photography session between Jenny Lamour (Suzy Delair) and Dora Monier (Simone Renant) in which the first one confess that she thinks her husband is being unfaithful and exactly with the woman who is photographing her. That scene is exactly the one between Natalie Portman and Julia Roberts in Closer (Mike Nichols, 2004).",1,,
"The one line summary is actually the punch line of a very old joke that begins ""what is a Jewish porno film?""<br /><br />While this film had its interesting moments, it was far too slow moving and did not do enough to explain to those of us in the audience unfamiliar with orthodox Jewish custom, exactly what was going on and why? How many people who came across this film would know that the bathtub the female characters were washing in is in reality called a ""Mikveh"" which is a ritual bath used to cleanse spiritual uncleanliness? The same question might be asked of why the bride was walked around the groom a dizzying number of times while her face was covered just prior to the marriage vows being performed. These two examples are but two of a large number of such moments that remained completely unexplained to the uninitiated audience.<br /><br />This film does have its touching moments along with expressions of great love and emotions. The characters are presented very authentically right down to the number of garments an ultra orthodox Jewish male must wear as well as the religious rituals he must engage in upon awakening in the morning to begin his day. The attitudes orthodox Judaism has towards women in general and wives in particular is both intriguing and at times maddening. This is another reason why more explanation is needed if this story is to be understood in context.<br /><br />I recommend this film to people who are familiar with orthodox Jewish tradition and ritual as well as those who might be interested in getting a brief peek at what the lives of people who practice this way of life is like.<br /><br />The story itself about two sisters who in their own ways rebel against ""the system"" is of moderate interest at best.",0,,
"This film, originally released at Christmas, 1940, was long thought lost. A very poor copy has resurfaced and made into a CD, now for sale. Don't buy it! The film is unspeakably terrible. The casting is poor, the script is awful, and the directing is dreadful.<br /><br />Picture Roland Young singing and dancing. And that was the highlight.<br /><br />Perhaps this movie was lost deliberately.",0,,
"Casting bone to pick: David Jannsen was 38 playing the father of Robert Drivas, who was then, 31 (yeah, I realize he's supposed to be just out of college, but clues in the script have him being a loafer and so he's probably 24-25 in the script--- that still puts Jannsen in parenting classes in Junior High). I assume the AMA wrote medical miracle up in their 1938 Year in Medicine. This movie hasn't aged very well at all and now it's main appeal is just to see a snap shot of Sin City, circa 1969 and all the incessant smoking, the weird hair (Drivas has an atomic comb over that makes him resemble a well-groomed hip Cousin It) and trendy fashions that went along with it. If anyone remembers, LV wasn't exactly London... the city coddled the mob and codger gamblers in those days. Drivas comes off as sexually ambiguous; his dad thinks he might be gay (in a sad irony, Drivas himself died of AIDS at 47) and the soapy conflict is from the generation gap issue (ahem, as if one may call 7 years a gap). Sonny boy wants to be his own man and dad wants to pull him into the casino (Caesar's Palace!), and plies him with girls (including the horny-for-money Edy Williams). Interestingly enough, the son doesn't seem to mind being thought of as gay--- unusual for the time and a cute Brenda Vaccarro is nearby to swoon platonically over him. What nudity there is is awfully lame--- just what was needed to pull the audience in for an 'R' rating in the early days of the MPAA rating system (which then was G-M-R[16]- and X). The editing is HORRIBLE and there's stupid-silly overdubs by The Committee (a late 60's neo-avante-garde comedy troupe that mercifully faded off the map within a couple of years). Don Rickles is on board as a blackjack dealer... seemingly preparing him for a role as a floor manager in the much better CASINO two decades later. Not to give anything away, but they would've dealt with Mr. Rickles' character with power tools and a hole in the desert back then. A curiosity at best, far from Joshua Logan's usual caliber of work. Dos/Dias. Now go watch CASINO again...",0,,
"Look, this film is terrible... the ""plot"" involves twins who are neglected by their self-absorbed parents, and left in the care of a succession of nannies and babysitters, all of whom the children drive away by being completely obnoxious. Eventually the kids engineer ex-convict Beverly D'Angelo to be their new nanny, do you care why? And D'Angelo watches a TV talk show about selling children and decides she will try to sell the twins... and, well, oh, you don't want to know. It's all very unpleasant, and not at all funny. In fact the announcer slated this film before it came on the TV channel I was watching! Just don't bother wasting a single moment of your life on this pile of complete trash, y'hear?",0,,
"....CAUSE IT'S CRAP! The kind of movie that makes you want to go and smack the movie maker and say ""WHY?"". Horrible camera work...count the times the camera tries to remain steady on one person and can't. The dialog is ridiculous. The acting is comical. It looks like they took over a ghost town in the west to see if they could make a movie on the least amount of money possible. I'd bet $10 they used home video cameras to make this. Either that, or most of the cameramen were drunk. Truly the trailers are more entertaining than the movie. If you ever want to host a ""Worst Movie Party"", bring this one. Want more entertainment...stare at a wall.",0,,
"I saw this on the Accent Underground release with the short films. I found the film at first boring and old fashioned and switched it off after the first hour - I was a little drunk and tired.<br /><br />I went to bed, and no kidding I had a nightmare about this film within half and hour of falling asleep. I couldn't stop thinking about why, so I got up, switched the TV back on, loaded the DVD and saw the rest of the movie.<br /><br />Well done Alex Frayne sir, you've managed to implant your film into this old, cynical movie goers head, and that takes doing. So 10 out of 10 to you.<br /><br />I can't say I 'love' this film of yours, but it has made a lasting impact despite its flaws and low budget etc.",1,,
"I hated the way Ms. Perez portrayed Puerto Ricans! We are not all ghetto - and we do speak Spanish- not Puerto Rican! I can not speak for the uneducated persons you have run into. But our language is intact, our island is our pride. Puerto Rico is better off economically than any other Caribbean island! I'm glad we are not like Cuba, Dominican Republic or Haiti, free from American influence? Free in true poverty, not the U.S. standard of poverty. We are not victims we are resilient, humble,honest and intelligent people. Our ancestry does include strong African roots, but not ""black"" roots- I have nothing in common with Black Americans 9do the research).<br /><br />The analogy between Pedro Albizu, Che Guevarra and Martin L. King could not be more off the mark.<br /><br />MLK was a great hero a true revolutionary- an honest man who saw a day when we would all be free.<br /><br />Che Guevarra helped Castro create the Cuba that is today, is that why boat fulls of Cubans risk their lives to come to America- because Che made such a better place for them? You had a great, awesome, bright idea but you politicized it too much. We have so many things to be proud of as a people - don't bring shame to our people by victimizing us. I am not a Nuyorican and perhaps that is why I can't share your views. I am Puerto Rican, I speak Spanish, I am not a victim and I have been able to accomplish many of my goals in America. If there is a part 2 in the future - less politics more history more stories of triumph- there are many.<br /><br />Damaris Maldonado",0,,
"I saw this movie at the theaters when I was about 6 or 7 years old. I loved it then, and have recently come to own a VHS version. <br /><br />My 4 and 6 year old children love this movie and have been asking again and again to watch it. <br /><br />I have enjoyed watching it again too. Though I have to admit it is not as good on a little TV.<br /><br />I do not have older children so I do not know what they would think of it. <br /><br />The songs are very cute. My daughter keeps singing them over and over.<br /><br />Hope this helps.",1,,
"I want to say that I went to this movie with my expectations way too high. I thought it was going to be funny because it's the sequel to Bruce Almighty which was really funny and it stars Steve Carell who is an excellent comedic actor but boy, did it sucked.<br /><br />The movie is advertised as a sequel but it really has nothing to do with the original since the only people reprising their roles are Morgan Freeman and Steve Carell but Steve's character is completely different, he is no longer the jerk he was in the first one here he is a nice guy. The story is different and the actors are different and it's not funny.<br /><br />All the actors involved(Steve Carell, Morgan Freeman, Wanda Sykes, John Goodman, Ed Helms and even Jon Stewart in a very crappy cameo) have talent but none of them seems to use it and it looks that there in the movie just for the money.<br /><br />Now the plot is obviously shaped after Noah's story but there are so many wrong things with it, I don't know where to start. I guess the big problem is that in the everyone around Evan thinks that he is crazy despite all the things that are happening to him, he grows a huge white beard in two days, he gets help from animals from all around the world, he builds a giant arc in a few weeks, in real life people wouldn't be mocking these guy after that, they would be saying he is the new Noah.<br /><br />Also the special effects are good but what the hell is the greatest movie flood ever filmed doing in Evan Almighty? Did they really had to waste such good special effects as filler for this crappy movie.<br /><br />Jim Carrey seems to be a smart guy since he has stayed away of three of the worst sequels ever made, Son of the Mask, Dumb and Dumbered and now Evan Almighty.<br /><br />This was a giant disappointment and Tom Shyadac should be ashamed of himself.",0,,
"First animated feature film from Ireland is also one of the best animated films I've ever seen. Its a real warts and all story that is unlike any of the other Oscar nominees and any other film from this year or any other year.<br /><br />The plot of the film has the Abbot of Kells, a village in Ireland building a wall around his town to prevent the vikings from destroying the town should they ever attack. His nephew Brendon, is a young monk who does the best he can but meets the ire of his uncle by doing things in his own time. When a legendary illuminator Aidan arrives from a destroyed monastery, Brendon drifts towards him and his warm personality. Much to his uncle's chagrin Aiden offers to teach Brendon how to illuminate. In order to help Aidan work on his great book, saved from his destroyed monastery, Brendan goes out into the forest to get material to make ink. While outside the walls he meets Ashley, a forest spirit with whom he develops a friendship. Unfortunately the Abbot finds out that he went outside the wall and there is hell to pay. But lurking in the distance are the vikings...<br /><br />Forget what you think you know about this film you're wrong. Even what I've explained doesn't do this film justice. Its a simple story with so much more going on. This is a wonderful movie about trying to find your way in the world, over coming demons and finding the beauty of the world outside of the walls. (As the film says the world is a dangerous place and doesn't cease to be even if you build walls).<br /><br />Its a film that treats its audience as adults and deals with all of life including the darkness. There is death and destruction and joy and happiness. Its not sugar coated. People die. Monsters lurk. (it freaked out some of the kids), but in the end there is hope. Frankly the darkness in this film is completely unlike anything in any recent American film. Forget the ""sadness"" in a Pixar film, this is the real thing, and its refreshing and it shows how homogenized even Pixar has become.<br /><br />Its a Genndy Tartakovsky-esquire (Samurai Jack) animated film who's look is actually based upon the the Celtic art of the period. Its a film that looks unlike any other. Here again is another film that takes the movie frame and uses it in every way possible. the Images are designed to fill the available space as much as possible. Often the film manipulated things to make it look like a page in the legendary Book of Kells. Its stunningly beautiful and best described as art come to life.<br /><br />Director Tomm Moore has fashioned a film that is a masterpiece. I can't say more than that. Its a masterpiece. Its one of the best animated films I've ever run across.",1,,
"A classy film pulled in 2 directions. To its advantage it is directed by Wes Craven. On the downside the TV film budget shows what could have been so much more with a larger budget. It moves along as Susan Lucci draws Robert Urichfamily into her clutches and trying to persuade him into the secret of her health club. His latest invention, a spacesuit which can analyse people or things becomes unexpectedly useful in his new neighbourhood. Anyone seeing this should pay attention to Susan Lucci. Her looks and performance had an unexpected repercussions a few years later. The actor, scientist and parapsychologist Stephen Armourae is a fan of this film and wrote a review of this film. Lucci became subject of a portrait by him followed as the basis for works of a sitter called Catherine. Lucci and Barbara Steele's portrait in 'Black Sunday' were used as references for the Catherine portraits which were immediately withdrawn by Armourae. Probably due to a personal nature between the artist and Catherine. So by seeing both films we can get an insight into another story and the appearance of unknown woman that would make an interesting film.",1,,
"Adventures in Dinosaur City, though a creative idea, was a nauseatingly atrocious attempt at filmmaking. Being sucked into a TV and into a new world is interesting. Three teens obsessively enthralled with half-animated dinosaurs is not. Don't waste the time or the brain power to see this sure loser. I wouldn't even let my kids watch it.",0,,
